any_fluid_str,fluid_label,property_label,quantity_kind_str
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Mass Flowrate,metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Specific Enthalpy,metron:f02dbf35-a262-4b4b-a7b1-de98952db2a2
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Massic Higher Heating Value,metron:01d0171c-3701-4560-ab6e-728ba7c7520a
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Massic Lower Heating Value,metron:348981f7-8101-4419-a765-864650701a4e
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Volumic Higher Heating Value,metron:9e6891d0-d48c-4687-b0fb-d1a0b22af564
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Volumic Lower Heating Value,metron:a0026121-a270-4f66-9a5c-d293219f6a36
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Power,metron:06865900-ff13-490f-92ab-481cc94e68ca
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Temperature,metron:158b78a6-0b66-4a2e-b3b0-ec929af4b93f
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Heat Capacity,metron:31a862c0-3f76-4c04-99f9-33d75b55457b
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Volumetric Flowrate,metron:42672c70-8cf4-4491-a5fb-f41b84a0b0f6
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Volumetric Mass Density,metron:593f45d9-cb81-428b-92b3-c73899c2e45d
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Energy,metron:78e99979-1f6c-4218-85e7-b71534933383
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Density,metron:9dde2be3-c116-420b-8f80-69155539c7ae
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Specific Entropy,metron:96d12c21-0f2c-4d9b-8de8-f7adea9e81a8
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Volume,metron:fe3de99d-313d-489b-b348-b6640fe86f2d
metron:95932987-8a0e-4484-a522-ca1924e84f7e,Combustible,Mass,metron:fc544821-b695-4b03-b58d-0ed14f3a9e6d
metron:Electricity,Electricity,Electrical Current,metron:dacab606-3b31-48b3-9fac-2e52ad11508b
metron:Electricity,Electricity,Power,metron:06865900-ff13-490f-92ab-481cc94e68ca
metron:Electricity,Electricity,Power Factor,metron:13841cc6-8be4-4227-b56e-924f8a1d2820
metron:Electricity,Electricity,Mass of CO2 equivalent,metron:295664c1-b6c3-4627-ada7-beb6d2253a48
metron:Electricity,Electricity,Energy,metron:78e99979-1f6c-4218-85e7-b71534933383
metron:Electricity,Electricity,Voltage,metron:99b3e810-72d8-4631-8c9b-a217b92f8600
metron:Electricity,Electricity,Apparent Power,metron:eb66ec40-2811-466c-aeec-f7ee68039be4
metron:Electricity,Electricity,Reactive Power,metron:3078ec4d-3747-4a5e-b7f8-73e767912846
metron:Electricity,Electricity,Apparent Energy,metron:84b79a76-d9db-49fd-b413-9f3500d3ea12
metron:Electricity,Electricity,Reactive Energy,metron:9ee2a6d4-0ec7-4af3-bd2e-a577a39e3dd7
metron:Electricity,Electricity,Active Power,metron:1d94e168-8232-431f-8083-1cebe63ec2be
