property_uuid,property_label,sensor_type_uuid,sensor_type_label
metron:a74131e2-43a5-4075-b6c2-71cbef0a139e,Efficiency,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:b8189618-da45-46a7-983b-f920bcb99dca,Running Hour,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:c2b0e405-c742-46c9-a0ec-5025af502e33,Load,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:13841cc6-8be4-4227-b56e-924f8a1d2820,Power Factor,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:20627de8-9278-40de-9cd2-a0f60fdd4c9f,Loading Hour,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:55fa7684-70d1-463d-b871-e7776187fc44,Run,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:8fb77b20-8ad2-4702-82cc-8941443e0824,Local Distant,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:eb2365ac-6f86-4ace-9709-4888af06274e,Charging Rate,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:0b81e56f-f3ee-4673-b3e1-515e44b374e6,Produced Power,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:0bb8c5c4-3a7d-4a75-9553-d2358ab5ada0,State Of Charge,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:98f41b80-992f-4830-ace9-40f9a16481ac,Produced Energy,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:c094a2a9-edba-40da-9855-c5bfee821201,Volume Produced,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:eaee52d2-1ab3-487d-8056-2d210af3fdcd,Specific Consumption Volume,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:bf9c5690-572f-43c8-bd9c-562ca375677e,Polytropic Compression Power,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:e1e67df4-5060-467c-8478-8e6017afaf59,Adiabatic Compression Efficiency,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:08d42e3f-b7a0-49e2-82d7-79cd03585f5d,% RLA,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:5c689e94-fdfd-48c6-a2bb-a827bb730c51,Polytropic Compression Efficiency,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:593f45d9-cb81-428b-92b3-c73899c2e45d,Volumetric Mass Density,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:609ad92a-cfc6-4fb5-8f84-7c0a3b5bae26,Motor Efficiency,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:8f14b14c-9c24-46d8-9d6d-886d99b517ed,Logarithmic Temperature,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:9340f9ae-7c84-4848-a140-bafd50bc3d06,Performance Indicator,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:c2169140-67a7-497f-bc71-abf548cd617b,Idle Running Hour,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:79aacec8-a50e-45a8-9f02-2a720be6ecaa,Idle,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:dacab606-3b31-48b3-9fac-2e52ad11508b,Electrical Current,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:06865900-ff13-490f-92ab-481cc94e68ca,Power,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:295664c1-b6c3-4627-ada7-beb6d2253a48,Mass of CO2 equivalent,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:78e99979-1f6c-4218-85e7-b71534933383,Energy,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:99b3e810-72d8-4631-8c9b-a217b92f8600,Voltage,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:3a59736b-c8e3-49a4-895d-82dbc3fbe8d1,Pinch,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:22331f65-3410-46d8-9fdb-12988c6d83d9,Pressure Drop,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:9fe1c3f9-f261-432d-9758-4219ab2ab41b,Ready,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:e9f388d3-ef7c-499e-986f-4e3cada923eb,Pressure,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:f02dbf35-a262-4b4b-a7b1-de98952db2a2,Specific Enthalpy,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
metron:fc544821-b695-4b03-b58d-0ed14f3a9e6d,Mass,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:fe3de99d-313d-489b-b348-b6640fe86f2d,Volume,metron:561ea2cf-b681-4c67-9bab-284a2df05882,Quantity
metron:03e111ae-726e-45a3-a86a-4b83b08d51cc,Thermal Conductance,metron:6354234a-6718-4864-b57a-8a65b55c925e,Continuous
