property_str,label_en,label_fr,comment_en,comment_fr,substance_exponent,electric_exponent,lenght_exponent,luminous_exponent,mass_exponent,temperature_exponent,time_exponent,dimensionless_exponent,reference_unit,reference_unit_str,units,units_uuid
metron:08d42e3f-b7a0-49e2-82d7-79cd03585f5d,% RLA,% RLA,,,0,0,0,0,0,0,0,0,Percent,,%,metron:9e0f6749-91e4-4d2f-aae2-97b9cbfac1fa
metron:9588d244-aca0-432e-958b-23bbf3c26bf6,Absolute Thermal Resistance,Résistance Thermique Absolue,,,0,0,-2,0,-1,1,3,0,Kelvin Per Watt,,K/W,metron:d95a3a84-c5c7-4a33-8225-6c071161e5e2
metron:60326690-b01c-44ba-ad37-06405344e866,Acceleration,Accélération,,,0,0,1,0,0,0,-2,0,Meter Per Square Second,,"m/s², mm/s²","metron:95305deb-92f1-471f-babc-4439e892bad8, metron:a56da222-95b3-451f-a5e3-f5d302e4bd0a"
metron:59b69d9c-f2e9-4120-a629-7b6e98caed8c,Accumulated Snowfall,Chute de Neige Cumulée,,,0,0,1,0,0,0,0,0,Meter,,"m, mm, ft, km, cm, µm","metron:1dcc45e9-41c5-4d57-9cf8-c5a8aa2a5c77, metron:43698332-5b94-4ef5-bd31-45401dd6068e, metron:571f5bd4-065b-48a4-9ee6-2e8fb719ce5b, metron:5b9e223a-8492-4e9d-8086-6c91c095b123, metron:6bfdbde5-f780-4029-9796-6a7ae8ed5967, metron:d053d1e1-fda4-4435-aad8-7278331ac95e"
metron:7deea234-e5d9-4368-af7d-ad115c196ba9,Active Energy,Energie Active,,,0,0,2,0,1,0,-2,0,Joule,,"J, MWh, kJ, MW.s, kW.s, MWd, GJ, kWh, W.s, MJ, Wh, GWh","metron:e6a2ba3d-c240-4f63-a2c4-cc1558603d0b, metron:ccc8c390-391a-454a-a968-9f975b4d7fc4, metron:f2327135-3f11-41f3-a25c-082889ddb960, metron:03ac9acf-c979-4e3d-8ee3-a3076192d622, metron:045b5e02-01b1-4a33-bdae-7b58daaa6f5f, metron:176fd651-2b47-4fa8-9c30-21a6c4bfb47e, metron:252ff58c-6037-47b7-94cf-0b0ac76e887f, metron:30cc758c-7825-44c8-a021-3bb7436e5dd5, metron:368dcb3d-d4e9-4153-bb74-1ed0edd1b7d9, metron:4c4a914a-9dcb-4142-aefd-b704401e12aa, metron:513fafd7-d971-47df-bc14-0f5b448b4cf2, metron:93e08fa8-d5ad-4728-b06f-bb1d8d091172"
metron:1d94e168-8232-431f-8083-1cebe63ec2be,Active Power,Puissance Active,,,0,0,2,0,1,0,-3,0,Watt,,"kW, W, MJ/h, GW, MW, Wh/d, Btu/h, kWh/d, MMBtu/h, GJ/h, MWh/d, J/h, kWh/h, th/h","metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2, metron:4cc74320-d5ed-4479-818a-e8d7a6aa1ab1, metron:b3a20c60-74da-4cde-a54a-c7830537fc1d, metron:d172682d-603c-4bb0-b442-36589a482aff, metron:0ce34129-b886-4a41-8cf4-a585e04a1b7a, metron:13dac0cd-6640-48c8-861a-1ca83e52f18d, metron:3e85d538-83a7-434c-8c8a-0127aedf87dc, metron:337eb34e-2428-4963-9720-2b685605d33a, metron:561df5c5-333c-4314-8de4-7fab58828864, metron:6f2ce799-957d-4bb4-a26b-72945826b169, metron:63b372d2-b47b-4684-8a47-da5ca8fc01c4, metron:77954468-1af1-4bd3-89b6-621b56dd86ee, metron:84c3b27c-4911-4cf8-a3f3-2f1faa62817c, metron:8809af4e-3b78-4d43-a836-d08418690275"
metron:e1e67df4-5060-467c-8478-8e6017afaf59,Adiabatic Compression Efficiency,Rendement de Compression,,,0,0,0,0,0,0,0,0,Percent,,"Dimensionless, %","metron:9fbbb7a8-c133-4f97-a561-e467e086143d, metron:9e0f6749-91e4-4d2f-aae2-97b9cbfac1fa"
metron:40dcccce-716f-405c-8d85-41921b398d85,Amount Of Substance,Quantité De Matière,,,1,0,0,0,0,0,0,0,Mole,,"mol, mmol","metron:fd04336c-2be2-4fbd-bc43-50c599a0052c, metron:3c3b0655-21f7-41ac-9bb9-62c924ef91b9"
metron:d34cc8f9-e3a8-4258-a758-588a7af045a3,Angle,Angle,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by ° (the degree symbol), is a measurement of a plane angle, defined so that a full rotation is 360 degrees.","Un degré, généralement représenté par ° (le symbole degré), est une mesure d'un angle plan, qui représente le 1/360 d'un tour complet1 ; un degré est aussi équivalent à π/180 radians.",0,0,0,0,0,0,0,0,Radian,,"rad, °","metron:6f140e1c-cbe0-4dc7-bcf8-8c59e7d65fed, metron:9f8593a2-e5e6-47dd-ba97-986ee95b0c28"
metron:84b79a76-d9db-49fd-b413-9f3500d3ea12,Apparent Energy,Energie Apparente,,,0,0,2,0,1,0,-2,0,Joule,,"J, MWh, kJ, MW.s, kW.s, kWh, W.s, MJ, Wh, GWh, kVAh, VAh","metron:e6a2ba3d-c240-4f63-a2c4-cc1558603d0b, metron:ccc8c390-391a-454a-a968-9f975b4d7fc4, metron:f2327135-3f11-41f3-a25c-082889ddb960, metron:03ac9acf-c979-4e3d-8ee3-a3076192d622, metron:045b5e02-01b1-4a33-bdae-7b58daaa6f5f, metron:30cc758c-7825-44c8-a021-3bb7436e5dd5, metron:368dcb3d-d4e9-4153-bb74-1ed0edd1b7d9, metron:4c4a914a-9dcb-4142-aefd-b704401e12aa, metron:513fafd7-d971-47df-bc14-0f5b448b4cf2, metron:93e08fa8-d5ad-4728-b06f-bb1d8d091172, metron:17362bcf-33d7-45b9-b98f-85b75d28d5bb, metron:3fad3836-db10-4963-9a58-5749e45597e5"
