unit_uuid,label_en,label_fr,comment_en,comment_fr,multiplier,offset,abbreviation,property,property_uuid,system_of_unit,symbol_en,symbol_fr,reference_unit,reference_unit_uuid,count_ref_units
metron:5d484285-658e-4f45-b930-34fd210976c2,Degrees Brix,Degrés Brix,The sugar content of an aqueous solution. One degree Brix is 1 gram of sucrose in 100 grams of solution.,,0.0E0,0.0E0,°Bx,,,Base,°Bx,°Bx,,,0
metron:a347698c-20ed-4560-939b-d4f962dfca31,None,None,,,1.0E0,0.0E0,none,,,SI-,none,none,,,0
metron:41b7716c-b4ba-45e7-a6d6-85f27f5b833f,Nautical Mile,Mille Marin,wiki: https://en.wikipedia.org/wiki/Nautical_mile,wiki: https://fr.wikipedia.org/wiki/Mille_marin,1.852E3,0.0E0,"M, NM, or nmi","Visibility, Length","metron:e4a97577-93bf-48a2-b976-99c96682c26c, metron:e47331af-028b-4676-b68f-8c8687c0a471",,NM,NM,m,metron:1dcc45e9-41c5-4d57-9cf8-c5a8aa2a5c77,1
metron:4be0e61b-0196-4fbb-8b29-2c3d27453450,Tonne Per Month,Tonnes Par Mois,,1 mois = 2628000 s,3.805175E-4,0.0E0,t/mois,"Mass Flowrate, Nominal Mass Flowrate","metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f, metron:a737932b-16c5-46b6-95e2-40120dea525e",SI-,t/mois,t/mois,kg/s,metron:7471dcbb-c204-44c5-8263-d158c59cd427,1
metron:561df5c5-333c-4314-8de4-7fab58828864,Million British Thermal Unit Per Hour,Million De British Thermal Unit Par Heure,,1Btu= 1055.06 Joule,2.930722E5,0.0E0,MMBtu/h,"Nominal Power, Polytropic Compression Power, Power, Nominal Cooling Power, Nominal Heating Power, No-Load Power, Active Power, Thermal Power","metron:32ca27ec-9896-43be-bd97-e9d9c6b26e94, metron:bf9c5690-572f-43c8-bd9c-562ca375677e, metron:06865900-ff13-490f-92ab-481cc94e68ca, metron:e0cd7cba-5779-4ade-803a-eda137379cfd, metron:00cbb607-867a-420f-beb4-af24887056d6, metron:4452dc55-d972-4745-a3bd-65112868e55e, metron:1d94e168-8232-431f-8083-1cebe63ec2be, metron:eb74c2f0-06be-472f-8cd6-dc04a7ca3509",Imperial,MMBtu/h,MMBtu/h,W,metron:4cc74320-d5ed-4479-818a-e8d7a6aa1ab1,1
metron:befd8e44-39b1-40bd-9259-a8f5efafd944,Pounds Per Square Inch,Livre Par Pouce Carré,,1 PSI = 6894.7573 Pa,6.894757E3,0.0E0,PSI,"Pressure Drop, Pressure, Outlet Pressure, Inlet Pressure, Nominal Pressure","metron:22331f65-3410-46d8-9fdb-12988c6d83d9, metron:e9f388d3-ef7c-499e-986f-4e3cada923eb, metron:5f0e167c-2d2b-4cdf-86ed-436287987b65, metron:99873cbb-31ad-4d7b-b618-344a1d3c554a, metron:4a26b232-b492-48df-8f62-ac2e7d9459bb",SI-,PSI,PSI,Pa,metron:9cb63560-dc2f-4d92-bf93-a59e5c39f6a4,1
metron:d4b2b0d1-0096-45bc-9899-5d58ca040eaf,Inch Of Mercury,Pouce De Mercure,,1 inHg = 3386.39 Pa,3.38639E3,0.0E0,inHg,"Pressure Drop, Pressure, Outlet Pressure, Inlet Pressure, Nominal Pressure","metron:22331f65-3410-46d8-9fdb-12988c6d83d9, metron:e9f388d3-ef7c-499e-986f-4e3cada923eb, metron:5f0e167c-2d2b-4cdf-86ed-436287987b65, metron:99873cbb-31ad-4d7b-b618-344a1d3c554a, metron:4a26b232-b492-48df-8f62-ac2e7d9459bb",Imperial,inHg,inHg,Pa,metron:9cb63560-dc2f-4d92-bf93-a59e5c39f6a4,1
metron:0f8fa68e-ac12-4120-9c7a-f49e541e0dc8,Inch Of Water,Pouce D'Eau,,1 in = 0.0254 m,2.490889E2,0.0E0,inH20,"Pressure Drop, Pressure, Outlet Pressure, Inlet Pressure, Nominal Pressure","metron:22331f65-3410-46d8-9fdb-12988c6d83d9, metron:e9f388d3-ef7c-499e-986f-4e3cada923eb, metron:5f0e167c-2d2b-4cdf-86ed-436287987b65, metron:99873cbb-31ad-4d7b-b618-344a1d3c554a, metron:4a26b232-b492-48df-8f62-ac2e7d9459bb",Imperial,inH20,inH20,Pa,metron:9cb63560-dc2f-4d92-bf93-a59e5c39f6a4,1
metron:02d466f2-8d2a-4bef-afad-07c609b6d9c4,Torr,Torr,,1 Torr = 133.3224 Pa,1.333224E2,0.0E0,torr,"Pressure Drop, Pressure, Outlet Pressure, Inlet Pressure, Nominal Pressure","metron:22331f65-3410-46d8-9fdb-12988c6d83d9, metron:e9f388d3-ef7c-499e-986f-4e3cada923eb, metron:5f0e167c-2d2b-4cdf-86ed-436287987b65, metron:99873cbb-31ad-4d7b-b618-344a1d3c554a, metron:4a26b232-b492-48df-8f62-ac2e7d9459bb",Base,torr,torr,Pa,metron:9cb63560-dc2f-4d92-bf93-a59e5c39f6a4,1
metron:43ffa69c-446f-41d1-b86c-3e84a01c0ec3,Centimetre Of Water,Centimètre De Colonne D'Eau,,1cmH20= 98.0665 Pa,9.80665E1,0.0E0,cmH2O,"Pressure Drop, Pressure, Outlet Pressure, Inlet Pressure, Nominal Pressure","metron:22331f65-3410-46d8-9fdb-12988c6d83d9, metron:e9f388d3-ef7c-499e-986f-4e3cada923eb, metron:5f0e167c-2d2b-4cdf-86ed-436287987b65, metron:99873cbb-31ad-4d7b-b618-344a1d3c554a, metron:4a26b232-b492-48df-8f62-ac2e7d9459bb",Base,cmH2O,cmH2O,Pa,metron:9cb63560-dc2f-4d92-bf93-a59e5c39f6a4,1
