property_uuid,property_label,observation_type_clean,observation_type_str
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,HFC-123,metron:ObservationHFC123
metron:d7aa287d-731e-485c-87a2-b56c796d214f,Thermal Resistivity,HFC-123,metron:ObservationHFC123
metron:e9f388d3-ef7c-499e-986f-4e3cada923eb,Pressure,HFC-123,metron:ObservationHFC123
metron:0098b191-8192-4be0-b02f-ce4d4790d432,Thermal Transmittance,HFC-123,metron:ObservationHFC123
metron:03e111ae-726e-45a3-a86a-4b83b08d51cc,Thermal Conductance,HFC-123,metron:ObservationHFC123
metron:158b78a6-0b66-4a2e-b3b0-ec929af4b93f,Temperature,HFC-123,metron:ObservationHFC123
metron:17db3b0c-ab50-4bdd-a50b-b98096082690,Enthalpy,HFC-123,metron:ObservationHFC123
metron:31cdd57c-5651-4f91-81f0-03359e209930,Thermal Conductivity,HFC-123,metron:ObservationHFC123
metron:42672c70-8cf4-4491-a5fb-f41b84a0b0f6,Volumetric Flowrate,HFC-123,metron:ObservationHFC123
metron:9dde2be3-c116-420b-8f80-69155539c7ae,Density,HFC-123,metron:ObservationHFC123
metron:78e99979-1f6c-4218-85e7-b71534933383,Energy,HFC-123,metron:ObservationHFC123
metron:f4691f12-6067-40e1-b404-e9f9cfc61fc1,Energy Cost,HFC-123,metron:ObservationHFC123
metron:af2cae16-e639-4ffc-9bff-c4eecf8275f4,Global Energy Cost,HFC-123,metron:ObservationHFC123
metron:4745f0a6-4a1b-4cf8-b78a-31bd54a83065,Percentage,HFC-123,metron:ObservationHFC123
metron:fe3de99d-313d-489b-b348-b6640fe86f2d,Volume,HFC-123,metron:ObservationHFC123
metron:fc544821-b695-4b03-b58d-0ed14f3a9e6d,Mass,HFC-123,metron:ObservationHFC123
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,R134A,metron:ObservationR134A
metron:d7aa287d-731e-485c-87a2-b56c796d214f,Thermal Resistivity,R134A,metron:ObservationR134A
metron:e9f388d3-ef7c-499e-986f-4e3cada923eb,Pressure,R134A,metron:ObservationR134A
metron:0098b191-8192-4be0-b02f-ce4d4790d432,Thermal Transmittance,R134A,metron:ObservationR134A
metron:03e111ae-726e-45a3-a86a-4b83b08d51cc,Thermal Conductance,R134A,metron:ObservationR134A
metron:158b78a6-0b66-4a2e-b3b0-ec929af4b93f,Temperature,R134A,metron:ObservationR134A
metron:17db3b0c-ab50-4bdd-a50b-b98096082690,Enthalpy,R134A,metron:ObservationR134A
metron:31cdd57c-5651-4f91-81f0-03359e209930,Thermal Conductivity,R134A,metron:ObservationR134A
metron:42672c70-8cf4-4491-a5fb-f41b84a0b0f6,Volumetric Flowrate,R134A,metron:ObservationR134A
metron:9dde2be3-c116-420b-8f80-69155539c7ae,Density,R134A,metron:ObservationR134A
metron:78e99979-1f6c-4218-85e7-b71534933383,Energy,R134A,metron:ObservationR134A
metron:f4691f12-6067-40e1-b404-e9f9cfc61fc1,Energy Cost,R134A,metron:ObservationR134A
metron:af2cae16-e639-4ffc-9bff-c4eecf8275f4,Global Energy Cost,R134A,metron:ObservationR134A
metron:4745f0a6-4a1b-4cf8-b78a-31bd54a83065,Percentage,R134A,metron:ObservationR134A
metron:fe3de99d-313d-489b-b348-b6640fe86f2d,Volume,R134A,metron:ObservationR134A
metron:fc544821-b695-4b03-b58d-0ed14f3a9e6d,Mass,R134A,metron:ObservationR134A
metron:fe3de99d-313d-489b-b348-b6640fe86f2d,Volume,R404A,metron:ObservationR404A
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,R404A,metron:ObservationR404A
metron:d7aa287d-731e-485c-87a2-b56c796d214f,Thermal Resistivity,R404A,metron:ObservationR404A
metron:e9f388d3-ef7c-499e-986f-4e3cada923eb,Pressure,R404A,metron:ObservationR404A
metron:0098b191-8192-4be0-b02f-ce4d4790d432,Thermal Transmittance,R404A,metron:ObservationR404A
metron:03e111ae-726e-45a3-a86a-4b83b08d51cc,Thermal Conductance,R404A,metron:ObservationR404A
metron:158b78a6-0b66-4a2e-b3b0-ec929af4b93f,Temperature,R404A,metron:ObservationR404A
metron:17db3b0c-ab50-4bdd-a50b-b98096082690,Enthalpy,R404A,metron:ObservationR404A
metron:31cdd57c-5651-4f91-81f0-03359e209930,Thermal Conductivity,R404A,metron:ObservationR404A
metron:42672c70-8cf4-4491-a5fb-f41b84a0b0f6,Volumetric Flowrate,R404A,metron:ObservationR404A
