property_uuid,property_label,unit_uuid,symbol_en
metron:0b81e56f-f3ee-4673-b3e1-515e44b374e6,Produced Power,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:bf9c5690-572f-43c8-bd9c-562ca375677e,Polytropic Compression Power,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:06865900-ff13-490f-92ab-481cc94e68ca,Power,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:2fc70fcb-7b3e-464b-942a-5c5b732a39e1,Consumed Power,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:1d94e168-8232-431f-8083-1cebe63ec2be,Active Power,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:8a97f08a-44a2-475f-a845-04d6e9fdb148,Gas Power Consumed,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:eb74c2f0-06be-472f-8cd6-dc04a7ca3509,Thermal Power,metron:056668ba-e28a-4e8c-a0be-1ebc3541e5e2,kW
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:7471dcbb-c204-44c5-8263-d158c59cd427,kg/s
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:a4d6a332-99fc-4ef1-b72a-19a1963f5aa9,lb/h
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:cfb5b3ff-5f8a-4667-b231-b86b4a00df1f,Mlb/h
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:d754821d-4475-424d-bfbf-aef0de7dc6b7,t/min
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:def2bbfd-da49-40b1-933a-1a3f4cf896fd,t/h
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:eeb9bba2-0c69-4c72-af20-eb70003d02b6,kLb/h
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:f5449a3f-8a07-4f00-8c1d-9b44624ed0a1,g/s
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:f995f159-d71f-493d-a939-1db98d91b767,g/h
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:05c04673-2941-481d-a498-463b8b335968,kg/h
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:2a1f288a-cf76-411a-ada8-a03631977ce4,t/s
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:2e95562b-6aa7-480c-b201-9db4a2ce4b12,lb/min
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:39bbab3b-cb1f-48b1-97a9-ab62636e0b99,g/min
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:4be0e61b-0196-4fbb-8b29-2c3d27453450,t/mois
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:792a3c99-e1f6-4271-bf8c-e24a3079aecc,kg/min
metron:a7affe4f-52f2-4a67-b92b-d3c7d865ea2f,Mass Flowrate,metron:87cc0a56-756a-4e1b-83d8-2ca9d1df264a,t/d
metron:a74131e2-43a5-4075-b6c2-71cbef0a139e,Efficiency,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:c2b0e405-c742-46c9-a0ec-5025af502e33,Load,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:13841cc6-8be4-4227-b56e-924f8a1d2820,Power Factor,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:55fa7684-70d1-463d-b871-e7776187fc44,Run,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:8fb77b20-8ad2-4702-82cc-8941443e0824,Local Distant,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:a919d95d-cbd3-45d7-a50b-6b5d2756a3b7,Number Of Cycles,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:e1e67df4-5060-467c-8478-8e6017afaf59,Adiabatic Compression Efficiency,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:5c689e94-fdfd-48c6-a2bb-a827bb730c51,Polytropic Compression Efficiency,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:609ad92a-cfc6-4fb5-8f84-7c0a3b5bae26,Motor Efficiency,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:9340f9ae-7c84-4848-a140-bafd50bc3d06,Performance Indicator,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:79aacec8-a50e-45a8-9f02-2a720be6ecaa,Idle,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:9fe1c3f9-f261-432d-9758-4219ab2ab41b,Ready,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:9dde2be3-c116-420b-8f80-69155539c7ae,Density,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:b7275f5f-9161-49b1-b730-425e5959d316,Cloud Coverage,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:dd224d30-a9fb-48b5-a56d-6fcd6ff20286,Part Of Day,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
metron:f26636c8-f908-47c8-9275-91e1c21bc669,UV Index,metron:9fbbb7a8-c133-4f97-a561-e467e086143d,Dimensionless
